,When non-hate speech,Description (English),Contexto,Discriminação religiosa?,Discriminação de sexo/genero?,Se ofensa étnica?
#name+x_hate+i_pt,#description+x_hate_nothate+i_en,#description+i_en,#meta+url,#indicator+hate_religious+bool,#indicator+hate_gender+bool,#indicator+hate_ethnicity+bool
Bicha,"In Portugal is a very common word for ""line of people"". But in Brazil is ofensive",Ofense against gays,,,,
Viado,,Gay (but very ofensive),https://pt.wiktionary.org/wiki/viado,0,,
Macaco,"""Macaco"" is also an animal (monekey). But when used against another human is very ofensive",Monkey,,0,,1
Sapatão,,Lesbian (but very ofensive),,0,1,
Puta,,Slut,,0,1,
Preto,Can designate skin color; can designate color,Black (men),,0,0,
Preta,Can designate skin color; can designate color,Black (women),,0,0,
Vagabunda,,Slut,,0,1,
Piranha,,Bitch,,0,1,
Filho da puta,,Son of a slut,,0,,
Filha da puta,,Daughter of a Slut,,0,,
